Review Dates,Review Titles,Reviews,Star Ratings
"April 19, 2022",Avoid unless you want robbed,"Purchased a hip support for my dog through amazon, it was delivered less than 40 minutes ago, went on my account as the support isn't as described and not fit for purpose and my statutory rights say i can retirn within 14 days, amazon return policy state that exact information also, they won't let me return as apparently its a non returnable item even though I wasn't made aware of this anywhere, amazon will not help they just keep ending chat on me, this support cost £97.50 so thats a big loss, I can't contact the seller as they have no contact details there so I have been ripped off and amazon won't help at all. This to me is fraudulent activity.",1
"April 19, 2022",Amazon customer service calling is ridiculous and they are no help at all!!!,"I have found items that I needed on sale and after I ordered Amazon canceled the day after it was said to be ""out for delivery "" I called to complain and they kept asking me the same questions I had already answered SEVERAL times! When I told them that I had already answered them more than one and they keep asking the same questions I already answered they put me on hold. While I was on hold I was talking to someone beside me about how ridiculous it is that they can't understand what i said the first time and the lady whom I was talking to (customer service supervisor) gets back on and is rude telling me ""your call is being monitored what did you just say"" when I told her I wasn't talking to her and that I was talking to someone beside me and I don't have to tell her what I said to someone else she got mad and hung up! These people need to learn to listen the first time so others don't have to keep repeating themselves and not get but hurt over someone saying that they obviously don't understand or aren't listening!",1
"April 19, 2022",£7.99 per mth to watch ads. No thx,Who would pay £7.99 per month to watch adverts on film etc not me anymore consider my subscription cancelled and will use eBay for other stuff with free shipping,1
A day ago,Several times happened,"Several times happened. I ordered online. Amazon gave me time window. Just a few minutes before end of the due for no reason my orders canceled. I understand this issue could be happen. But the main problem is Amazon doesn't care about how is the costumers feeling. I tried to tell them my complain is about  my time. Amazon waist my time and I need my orders, although they try to make me happy with 5 dollars credit offer. I said this is insulting whenever people talk about humanity and customers respect, but the still tried to buy my waist time with 5 dollars gift card. I just disappointed because feels like Amazon already grows up and don't need to respect or responsibility about customers. Even Worse than that is costumer services that act like robot or some technology without any understanding. I recommended to send me my order after at least another two hours chat with costumer service but they passed me to the other person and it repeated several times and each time they asked me to explain again my story. I know billion dollars corporation don't even look at our rights but I'm sure where ever any system ignore humans they will fall in the end. For my part, I will close my Amazon account forever.  I hope no one else has such an experience that I had.",1
A day ago,I placed an order,"I placed an order, being told it would be the next day, when I clicked on place order and it came through I have to wait till June for it, I placed a similar order within minutes and it will be here tomorrow. How does that work. Amazon is becoming over priced and unreliable on it orders also the packaging that the items comes in is not exactly environmentally friendly",1
"April 17, 2022",Uinethical and evil for getting you…,"Uinethical and evil for getting you free prime membership during a transaction oin Amazon you dont want,  Then you can’t use it and then they have the nerve to renew without your approval against Australian consumer law.",1
"April 17, 2022",They are poor service told my delivery…,They are poor service told my delivery would be before 2000wait on all day then at 1800 hrs  They emailed me to tell me it would not be possible to delivery but would be some time in the next 2 days the told if dose not arrive I can clame refund wich men's They have lost my order They are totally  Incompetent,1
"April 17, 2022",Bad show Amazon.…,A bit sick of Amazon continually pushing Prime in our face. Both my wife and I have had enough. My wife had £7.99 a month taken off for ages before noticing this. She had not knowingly signed up. Bad show Amazon think we're done.,2
"April 17, 2022",Prime gets you no service.,"Basically Amazon offers Prime for consumers to pay for better service, but as the price goes up, the level of service declines. I've had several instance where promised next day or 2 day shipping has slipped for several days, and now returns are also not going like they used to. I had a return approved on April 9, shipped it back April 10 via UPS, Amazon received it April 12 but as of today, April 17, they haven't even acknowledged receipt of the item. I went on a support chart where the representative confirmed the receipt and then quickly closed out the chat session before I could ask any follow-up questions. Since they're having issues with too many returns, I don't expect this will improve, just get worse.",1
"April 16, 2022",MINUS -500 still haven’t heard from them,I will like to give them minus 500 stars if could Still haven’t heard from them for my parcel previous still waiting since from March best too and said it has been recived which I haven’t recivedCovid 19 not an excuse for not delivering any parcel we’re in 2022 now things are getting to normal other ones manage to deliver my parcel,1
"April 16, 2022",Absolute garbage customer service for sellers,Absolute garbage customer service for sellers. Out of the blue they locked my account and never explained why. These degenerate thugs are a bully just like their founder. I am done with anything Amazon. What a disgusting steaming pile of feces business.,1
"April 16, 2022",Big disappointment,"I am so done with Amazon. I have been a customer for so many years and the service is gotten so bad. They make excuses for why you haven’t received your order, the delivery is horrible, and it’s a constant battle to just get your money back. It’s not worth shopping here anymore!",2
"April 16, 2022",Briefly yours,Just read Briefly yours by Cat English ..what an inspiring young lady she is a honest and true account of her life to help fund her love of cats a fantastic read highly recommend this book,5
"April 15, 2022",So sad ...after being an Amazon…,So sad ...after being an Amazon customer for many years I can honestly say I am done. The customer service is so bad it's as if they can't even see your order on their end. The only solution they give you is refund or they conveniently disconnect the call/ chat. No reason to pay for prime since they are always late on delivery.,1
"April 14, 2022",absolutely disgusting,"absolutely disgusting, even when you cancel a subscription and get confirmation that's been cancelled they still take money from you and tell you it's still active, I cancelled it for a reason because I don't want it anymore.",1
"April 14, 2022",Thanks Marie!,I called for a missing order on an item and the customer service rep Marie found my problem got me a refund and authorized it in under 5 mins all while keeping a friendly attitude and keeping me updated. Made a stubbed toe feel like a massage :),5
"April 14, 2022",after only ordering for the 3rd time…,"after only ordering for the 3rd time you have once again got my order completely wrong, online shopping should be easy and not stressful yet here we are again. i live in wales yet your driver left me a parcel for a karen harris in scotland!",1
"April 14, 2022",Amazon returns not in order…,"I purchased 3 quilt rulers for myself and friends at Amazon.nl and found them to be faulty. After cutting 2 quilts, the lines were gone from the rulers making them unusable. I contacted Amazon for refund and sent the rulers back. Now Amazon processed the return and marked 1 returned and are saying I will be charged again for the other 2. There were 3 rulers in the box. I am furious at the bad system that doesn't check what has come in for returns. As it was, we think the rulers were cheap fakes because this is a ruler I use for 15 plus years. It seems to have been a false copy of the real ruler. What happened to Amazon? It is no longer the company it used to be.",1
"April 14, 2022",DISGUSTING CUSTOMER SERVICE,"Amazon locked me out of my account for no reason.  I made a payment via the method I have done for years.  They blocked me in November 2021 and didnt send me the message they said that they had done.  I still do not have access and today received an email asking me to login and submit information.  Absolute joke, how can I log in if I am locked out.  I have tried every possible way to speak to a person and when I have managed to get my way through the rejection emails the advisors just send a scripted response that doesnt even answer or even make sense wit what I am asking.  Seriously need to give me access as I bought £100s of Amazon Echo and Firesticks.  I had extra subscriptions for all services too which were cancelled rendering my items useless.",1
"April 14, 2022",nothing amazing about Amazon,I work in customer service and there's is the worst I placed a order for same day paid for it waited watching the app or went to delayed but still arriving by midnight what No woke up at 6am no package chatted with them via text on there app couldn't understand if it was a bad rapper but he couldn't make his sentences make sense nor spelled correctly called talked to a supervisor who said she apologized for the inconvenience I'm going to refund your order but you're still gonna receive it don't send it back not the case she canceled it and put I refused shipping and delivery omg wow I I need this for work reason called back another rep said can't you just go to a local store my jaw dropped I would be fired instantly if I suggested a competitor then I spoke with another supervisor who said reorder it Amazon will Express ship and prioritize it for delivery day 3 now and it says it will arrive by 10pm thaf is not priority or Express.  There agents try to blame it on a language misunderstanding that is bs then keep it USA then,1
"April 19, 2022",Avoid unless you want robbed,"Purchased a hip support for my dog through amazon, it was delivered less than 40 minutes ago, went on my account as the support isn't as described and not fit for purpose and my statutory rights say i can retirn within 14 days, amazon return policy state that exact information also, they won't let me return as apparently its a non returnable item even though I wasn't made aware of this anywhere, amazon will not help they just keep ending chat on me, this support cost £97.50 so thats a big loss, I can't contact the seller as they have no contact details there so I have been ripped off and amazon won't help at all. This to me is fraudulent activity.",1
