Review Dates,Review Titles,Reviews,Star Ratings
"April 19, 2022",Zlatan approves.,"Have discovered the new ""Buy Back"" scheme they have introduced without honestly informing their customers.  Bought walk in wardrobe shelving compilation 29 January and was delayed in install until 04 April due to builder delay in completion.  When I return a small part of the multi buy items they told me I had used it.  It was only partially assembled with no inner shelves as it became clear at that point it would not fit.  But they insisted I had ""used"" it and only paid me 40% of its value as a buy back.  So the 365 return policy no longer exists really- No signs advising - really atrocious behaviour of staff on the day when I queried it.  I could take it back if I did not like it.  Wrote to manager of store and did not even get a response.  Buyers beware - policy change with no fair notification.",5
"April 19, 2022",Buy back rip off from IKEA dublin instead of fair return,To all Muslims Sweden the nazist country is continuing to kidnap our children and continuing to protect Quran burners . Please boycott ikea and H&M boycott any Swedish product.,1
A day ago,To all Muslims Sweden the nazist…,"I had bought a new office chair which did not fit in the area where I was using it, but to my shock they refused to return when the chair was in brand-new condition. Add taken to the store in Lakeside, the staff member Amariah was very rude and claimed I had “used” the chair which is totally false. It is in new condition and yet we are acting nasty, this was not how the service was a few years ago and they have really gone downhill. The service has gotten really poor and I would advise anyone to consider purchasing from here not to do so. I have made a complaint to their HEAD OFFICE and CEO.",1
"April 14, 2022",Brand-new item returned refused shambolic service,"Just wanted to give a shout out to the IKEA Philippines delivery team that made it possible for us to enjoy one of IKEA's sofas in a timely manner. We had a late request on a delivery and while it wasn't within IKEA's policy to do so, the team looked at options and choose an alternate way to make the delivery of the sofa happen.So - a BIG thanks to Ms. Alma (EB Manager) and her team Michael and Phil who went into action. THAT is what you call ""thinking outside the box"" and providing exceptional  IKEA customer service.",1
"April 12, 2022",IKEA Philippines delivery team!!!,"I would have not given it any stars but as you have to it has one star. The worst service I’ve had the unfortunate pleasure to receive. I have tried fifteen times to register with them to receive a discount on an item of furniture I wished to purchase, yes, fifteen times. Their system does not allow potential customers to purchase items online. So I decided to ring them, but before I found out their telephone number I used their online chat, again circles and not very bright people. I then used their customer service query search. Did not recognise my query, which I reworded numerous times but it just was not recognised. When I eventually found their number, and got through to a human the only things they could say was “no worries”. I was then out through to the resolution centre who also liked the phrase “no worries”. We’re I was informed that a ticket needed to be raised as the I.T. Department were unaware of this problem. I had already explained that I had been on a forum with hundreds of people experiencing the same issues as me and this went back to March 2020. So if IKEA are unaware of this issue and after two years still not doing anything to resolve it then I’ll take my custom elsewhere.",4
"Apr. 12, 2022",None existent customer service.,"I recently purchased online a sit/stand active support and paid for delivery using the local postal service CTT in Portugal, who lost my package and three weeks later IKEA Portugal has not refunded me. They say that I have to wait until CTT responds to their inquiry. So, one week ago I called and they said that CTT located the package and will be returned to ikea, and only when it is received in the store that they will refund me. I found out today that the whole thing is a lie, CTT never responded and never located the item, and ikea still insists that I should wait until the item is returned to them, an item that never received. The whole process is a joke, the package obviously will never be found but they continue on insisting that I should wait. I never received the package, so I should get my money back no matter what, right? Wrong!!! That’s not how IKEA works.. disappointing and shocking the lies that they gave me.",1
"Apr. 11, 2022",Bad customer service,"A couple of years ago in the midst of the pandemic I bought stuff for my mom which I had to return as she passed away before she could ever use it. I tried to return it - within the year. As I had many other estate issues going on and only was in in Germany for a few weeks it turned out the time IKEA required was not enough time-so I had to gift it to somebody instead of returning - 700Euros lost. I swore I’d never buy from these people again. Sadly, I did not follow my own advise  and bought something from IKEA again. 50% success-in a way. I received two out of four ordered items. The other two were never delivered. AND of the 4 packages delivered two were not mine and I was just told to donate/trash them. Talking about IKEA saving the environment!!!",1
"Apr. 10, 2022",A couple of years ago in the midst of…,Went to the store in greenwich and got great service from a salesman in his 70s sorry forgot his name but fantastic service and very helpful . ordered a mattress. They delivered it on time but left it in the hall so the deliver to room promise not so good hence 4 stars,2
"Apr. 10, 2022",Great service in greenwich,"Beware of the delivery claim on their website to deliver to the room of your choice if you're buying a bed or mattress. Chances are you'll stump up £40 for delivery only for the delivery contractors to be unable to get the item up your stairs or refuse to touch the item if you offer to unwrap it so that it can then be manoeuvred upstairs. I was left with trying to lug a heavy kingsize mattress upstairs on my own, which I did, but I'll use a local company rather than Ikea next time. no response to my feedback email either. The mattress was ok and as described.",4
"Updated Apr. 8, 2022",Be wary of their delivery claims.,"I bought a small drawer. And to be honest, it was easy to assemble. The only thing I don't like is the quality of the product. It could be a bit better. Apart from that fast delivery.",3
"Apr. 7, 2022",I bought a small drawer,"I bought the table, and, of course it came damaged. They want me to dismantle it and send them back. I have mounted it for hours... They do not want to send a damaged piece! Never again! Very bad quality and unprofessional customer care.",4
"Apr. 6, 2022",I bought the table,Horrible customer service. Actually chalk it up to no customer service. They delivered wrong product on a day that was after my scheduled date. Arranged a pick up 3 times all three times no show. I’m the meantime I can’t get refunded till they pick up the mistake they caused. They have the nerve to always say this is being recorded when all these mistakes are being made from them. Incompetent unprofessional and no accountability. The worst experience ever. Still have the product at home and on deliver pick up on another day which they won’t call or show up again. I’ll never buy a single thing there ever again. The frustration is not worth there I don’t care attitude. Awful I’d give them a zero if they allowed to give them a rating below 1. Never again,1
"Apr. 3, 2022",Horrible customer service,"chokingly bad. As having worked in customer care my self for >5 years, I know what to expect. I understand they might be busy but they take time writing elaborating, insulting messages instead of just listening to my concern. and no way to give feedback on this (talking about fb messenger). Incredible, this ruined my day.",1
"Apr. 3, 2022",chokingly bad,"Ikea has a terrible website along with a terrible customer service. The product that I wanted, I was waiting for a very long time. Now that it was available I wanted to place the order, however the ikea website says it’s available for delivery and not in stock at a current store for pick up, or it says it’s available for delivery and for pick up. So I place the item in my cart and then the item says not available for delivery or pick up? Is it the ikea website ? Because it is really unhelpful. And what exactly is customer service here for? They can’t help with anything other than say “ it is what the website says “ . This is confusing to me (the customer) . Please fix this situation because this is a waste of time!",1
"Apr. 2, 2022",Ikea has a terrible website along with…,"Avoid! You get better customer service from drug dealers! Booked 2 deliveries and still nothing has appeared. Phoned today and after an hour of listening to ABBA finally managed to get through to a human being. Did the security check and gave my order number and he told me exactly what my order was etc and then put me on hold for nearly 20 mins to then come back and tell me the old chestnut that the systems were down and they couldn’t do anything, even though he’d just told me what my order was which I mentioned and he became rude. Basically fobbed off and told to phone back tomorrow which I will - to cancel it. £500 out of pocket and nothing to show for it & I have to chase them up wasting hours on the phone because they don’t have the courtesy to even give an explanation or let you know what’s going on! Absolute shambles and borderline criminal taking peoples money, giving them the run around especially if they take time off to wait in on a delivery that will never show up!",1
"Updated Apr. 1, 2022",Avoid,"Wouldn’t give them one star as it’s too generous. Absolute robbery. Items never delivered, same excuse always given. No correspondence regarding delivery, people in waiting on it wasting the whole day for a delivery that will never appear. They have you over a barrel because even if you cancel it takes forever to get your money back!! Appalling customer service it’s almost criminal how they can take £100s sometimes £1000s of peoples money and leave them hanging and refuse to refund!!",1
"Apr. 1, 2022",Wouldn’t give them one star as it’s too…,Very bad customer service by Nisha. She called and said 2 of my items that I purchased are out of stock and they will process a refund. But they were in stock when I ordered them and while creating the order it was not explained. She said I can reorder it and it’s possible it will be here next week and said I was not listening and I’m talking over her. Horrible  service and I will never again place an order with them as every thing was placed in order and they did not set it aside for delivery and if any other customer buys it time frame they will sell it even if an order for the same item was made,1
"Mar. 31, 2022",Very bad customer service by Nisha,"IKEA delivery service is the worst, they don’t deliver complete order, when asked for eta, they threaten to add additional charges. Customer service rep was one of the most unprofessional customer service I spoke with",2
"Mar. 29, 2022",IKEA delivery service is the worst,"At the start of the year I had a guest bed and two mattresses delivered. I put in to exchange the two mattresses, brand new and unused. This was almost two months ago, no one can tell me if or when these mattresses will be collected or when the new ones will show up. I have a month left on the return policy and am worried about what will happen. I have just spoken to Juliana who informed me my postcode isn't even recognised, not a problem I have ever faced before. Can someone please help?",1
