Review Dates,Review Titles,Reviews,Star Ratings
"April 19, 2022",The Death of Instagram,"""Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them."" so wrote the balding perfumed ruff model William Shakespeare, but alas these blustery words were not intended for the dead eyed Mark Zuckerberg, nor anyone that creates albeit legal, voyeuristic masturbatory digital snooping tools. Though hardly great, Mr.Zuckerberg and his lesser competitors have given us the likes of TikTok, MySpace and Facebook the latter spawning the slightly more idiotic Instagram. As a target audience garden variety moron myself, I took to Instagram like a Floridian does to NASCAR. So many ""friends"" I made from Trucknutz69 to DonaldTrump4prezudent; finally I was a part of a community, such that it is. However, the rot was about to set in.Having never felt the need for such security measures as double authentication, a pencil outline of my penis or a drop blood from which a match could be made to verify myself to the robots at Meta, I sat back in my superior manner and never worried once about male enhancement pill salesmen or bitcoin hucksters wanting to commandeer my Instagram feed. However, just like Mr.Zuckerberg's mother commenting on her son's terrific sense of humour, I couldn't have been more wrong. Upon returning from my miserable job as a modern day gong farmer, I sat down, very much the broken man, to see how my pal Kanye West was doing, here I discovered that my Instagram feed had been expropriated by one of aforementioned bitcoin barrow boy. No more The Rock, no more RepublicansforJesus, no more vulcanized Brazilian 19 year olds asking for a few reals to finish med school in Brasília...I was well and truly hacked. So, what solution did Instagram have for me? Instagram, the company worth 100 billion dollars- they said, and I'll paraphrase Lou Costello here: ""I dunno!"". As minutes turned into hours more and more of my followers were being drawn into this evil bitcoin scheme. And then it started, actual real people I know began to call- not Mr. The Rock nor any Brazilian med students/bikini models, but honest decent people I actually know, some of whom use Instagram for their business. Could I stop this avalanche? Well, ask anyone who this has happened to and you'll know my answer.The solution: take some of that money and hire a customer service team (like the Brazilian ""fitness"" model most likely employs) and have them standing by to field the myriad issues involving lowlife hackers usurping your innocent user's Instagram feeds. Apologize to countless users that you've allowed to dangle from a rope of your own creation and then comb out the eggs and nits of the hacker from your own greasy head. ""Meta"" is a person or thing that is more than usual or that goes above and beyond- well I'd settle for less, not less in the Instagram sense, but less in the ""just do something in a reliable manner"" sense....Instagram- you're as terrible at helping your users as you are brilliant at bringing American simpletons to international attention.",1
"April 15, 2022",Instagram itself is fine,"Instagram itself is fine, but the vast majority of it's promoted content I see is fraudulent websites and scams. Therefore instagram's business model is actually taking a cut from stolen funds. Sooner or later, a class action law suit will close the entire firm down.",1
"April 15, 2022",mark you just id.iot you are a swindler…,mark you just id.iot you are a swindler all your money is forbidden by stealing and taking peoples information and there is no safety for you and your dirty sites like you you are taking advantage of people because you are a rude child a fraud dont pay the users anything and waste their time for hours every day on facebook and instagram because you are a shameful and disgraceful person i hope that your sites are all shutdown,1
"April 15, 2022",Horrible,"Horrible. I'm not able to log in to my business account on my desktop. There are certain tasks that need to be completed by desktop. This company has no organized system to address issues. Instagram automated message states to enter the 4 digit code sent to my phone number ending in---- but no code is ever sent. I've had this happen before and they offer no explanation as to why this is happening. I'm dealing with an actual live person now and they asked for verification information which I provided 5 days and ago and no response. This is NOT a situation where i forgot my passcode or I have an incorrect phone number listed, it's a situation where they are NOT sending the code because their system is NOT functioning properly. I have never had such a bad experience with logging into an account. Fix your system Instagram/Facebook and If you can not do that, then you need to shut Instagram down or bring in a NEW CEO and whole new team because the people that assist you can not answer simple questions....",1
"April 14, 2022",Crappy help,My account got hacked so badly I tried to call Instagram to see if they could fix it but they have no costumer survive and their help center is absolute crap.,1
"April 12, 2022",Wow so many fake businesses most from…,Wow so many fake businesses most from America. Instagram DO NOT  click on any adverts as they are not vetted nor are they checked for fraudsters.  Do not Buy anything from there you will loose your money.,1
"Apr. 12, 2022",Someone has impersonated my profile for…,"Someone has impersonated my profile for the second time. I have reported it both via the app and via the form submission - The response received, we cannot review your case right now due to a coronavirus outbreak.  Please try again later.The app is useless as well. Someone is using my face to scam people and they are okay with that, Not adhering to their own guidelines and community standards.",1
"Apr. 11, 2022",great for pictures but terrible for videos,"It is great for watching pictures.But terrible for video-stories. The sound in news feed is on automatically which is annoying . I turn it off and and after it it’s not possible to watch stories because they also don’t have sound and it’s not possible to turn it on from the story, there is no button, I need to go back to feed, to find a video, turn sound on and go back to watch stories.Why is it so terrible? Guys, look at YouTube how great they play videos without sound before you click yourself.",3
"Apr. 9, 2022",Absolute Rubbish since Facebook got…,Absolute Rubbish since Facebook got there grubby hands on it!Endless Bot Likes & Advertising.Also they Locked me out of my Account for No Reason.Taken the Fun Out of Using the App.,1
"Apr. 8, 2022",Absolutely appalling,Absolutely appalling! Security is so lax and there's no chance of ever getting your account back if its hacked! Unbelievable this can actually happen and they couldn't care less !,1
