Review Dates,Review Titles,Reviews,Star Ratings
"April 19, 2022",Love the content,"Love the content. Good variety, old films and TV along with new stuff. App works everytime. Worth the cost.",5
A day ago,There is so much rubbish on Netflix now,Netflix changed my life with my wife. Every evening we find something to watch. We like their original series. It's so easy to use on the app on TV.,1
"April 18, 2022",Netflix changed my life with my wife,Netflix has been my favorite streaming service for years. I love how they're always coming up with new series to watch and their prices are still reasonable. I love that they also have some great movies and documentaries. My only gripe with them is that there isn't a lot of variety in the types of movies they offer.,5
"April 17, 2022",Netflix has been my favorite streaming…,"The variety of shows is good, but the prices are increasing without a reason.",4
"April 17, 2022",The variety of shows is good,The best place for watching tv series!!!!!,3
"April 17, 2022",The best place for watching tv…,Netflix content sucks anymore. They don't have enough decent shows. Once you run out of things to watch it's a wasteland.,5
"April 16, 2022",Content sucks lately,It is a bit expensive but it offers a great variety of content. I like it.,1
"April 16, 2022",Expensive but okay,Don't increase the cost! You are not hit by gas etc.Don't have The Markles there!,4
"April 16, 2022",Cancel the Markles or people cancel you,"Not only have they just put the price up, again, they have removed all of the kids programmes my children were watching. Paw patrol, sonic, grizzly and the lemmings, the emoji movie, hotel transylvania etc etc............absolute joke",1
"April 15, 2022",Not only have they just put the price…,eternal  sunshine of a spotless mind.  why cant you let me listen to the tune at the end without cutting to a trailer..  sort it out now... i pay for this...i dont want stupid trailers :(,1
"April 14, 2022",eternal sunshine of a spotless mind,Many movies and serials to choose from.Sometimes I have problems with login from different browsers.,1
"April 13, 2022",Decent,Cancelling will smith will be their biggest downfall 😂,3
"April 13, 2022",Cancelling will smith will be their…,Great variety. Worth the price.,1
"April 13, 2022",Great variety,More genuinely good shows cancelled and a price hike. The service is become less and less valuable by the month and will likely stop using after Stranger Things ends.Use someone else's login. Don't give them your money.,5
"April 12, 2022",Use someone else's login.,"Had a family in Colombia use my cancelled Netflix account (which used to cost me £5.99 a month) and charge me £13.99 a month for their 'viewing pleasure'. I didn't know what was happening, and after several phone call to Netflix, was told they'd sort it out and refund me. They didn't. A month later, I get charged a further £13.99. I call them again. They say they can only refund me for one month and my bank will have to issue me the refund even though it was their incompetence in A.not refunding me, and B. Allowing my bank account to get hacked to pay for people on the other side of the planet to watch Netflix at my expense!! No apology, just advice to change my email password!  So it's all my fault!?!?  GRRRRR!!",2
"Apr. 12, 2022",Had a family in Colombia use my…,It's OK. Been with netflix for many years. Took a short break but back. I had to leave this review as its going up in price again. What is going on netflix.,1
"Apr. 11, 2022",It's OK,Great. A wide range of shows and movies from all genres. I only have streaming issues on rare occasions.,3
"Apr. 11, 2022",Great,Wont let me restart membership now and first ddt let me stop it keeps saying something wrong with bank details try another method why should i give u another details when i want to give you one way one details only and its enough when charging me money.can understand logic in it.I think best thing to do is to leave it for US only coz the way its designed is as if we dont care for else.,4
"Apr. 11, 2022",Wont let me restart membership now and…,"To be honest I’m not satisfied 7 years I’ve been with Netflix and not once have they email and said hey girlfriend 3 years today we been together have a month on us, it’s like having a kid at times the longer you have it the more expensive it becomes, don’t get me wrong the shows are great (sometimes) but rather than are you still watching how about shall we order Uber? Love ya",2
"Apr. 11, 2022",To be honest I’m not satisfied …,"Love the content. Good variety, old films and TV along with new stuff. App works everytime. Worth the cost.",3
"April 19, 2022",Love the content,Netflix changed my life with my wife. Every evening we find something to watch. We like their original series. It's so easy to use on the app on TV.,5
A day ago,There is so much rubbish on Netflix now,Netflix has been my favorite streaming service for years. I love how they're always coming up with new series to watch and their prices are still reasonable. I love that they also have some great movies and documentaries. My only gripe with them is that there isn't a lot of variety in the types of movies they offer.,1
"April 18, 2022",Netflix changed my life with my wife,"The variety of shows is good, but the prices are increasing without a reason.",5
"April 17, 2022",Netflix has been my favorite streaming…,The best place for watching tv series!!!!!,4
"April 17, 2022",The variety of shows is good,Netflix content sucks anymore. They don't have enough decent shows. Once you run out of things to watch it's a wasteland.,3
"April 17, 2022",The best place for watching tv…,It is a bit expensive but it offers a great variety of content. I like it.,5
"April 16, 2022",Content sucks lately,Don't increase the cost! You are not hit by gas etc.Don't have The Markles there!,1
"April 16, 2022",Expensive but okay,"Not only have they just put the price up, again, they have removed all of the kids programmes my children were watching. Paw patrol, sonic, grizzly and the lemmings, the emoji movie, hotel transylvania etc etc............absolute joke",4
"April 16, 2022",Cancel the Markles or people cancel you,eternal  sunshine of a spotless mind.  why cant you let me listen to the tune at the end without cutting to a trailer..  sort it out now... i pay for this...i dont want stupid trailers :(,1
"April 15, 2022",Not only have they just put the price…,Many movies and serials to choose from.Sometimes I have problems with login from different browsers.,1
"April 14, 2022",eternal sunshine of a spotless mind,Cancelling will smith will be their biggest downfall 😂,1
"April 13, 2022",Decent,Great variety. Worth the price.,3
"April 13, 2022",Cancelling will smith will be their…,More genuinely good shows cancelled and a price hike. The service is become less and less valuable by the month and will likely stop using after Stranger Things ends.Use someone else's login. Don't give them your money.,1
"April 13, 2022",Great variety,"Had a family in Colombia use my cancelled Netflix account (which used to cost me £5.99 a month) and charge me £13.99 a month for their 'viewing pleasure'. I didn't know what was happening, and after several phone call to Netflix, was told they'd sort it out and refund me. They didn't. A month later, I get charged a further £13.99. I call them again. They say they can only refund me for one month and my bank will have to issue me the refund even though it was their incompetence in A.not refunding me, and B. Allowing my bank account to get hacked to pay for people on the other side of the planet to watch Netflix at my expense!! No apology, just advice to change my email password!  So it's all my fault!?!?  GRRRRR!!",5
"April 12, 2022",Use someone else's login.,It's OK. Been with netflix for many years. Took a short break but back. I had to leave this review as its going up in price again. What is going on netflix.,2
"Apr. 12, 2022",Had a family in Colombia use my…,Great. A wide range of shows and movies from all genres. I only have streaming issues on rare occasions.,1
"Apr. 11, 2022",It's OK,Wont let me restart membership now and first ddt let me stop it keeps saying something wrong with bank details try another method why should i give u another details when i want to give you one way one details only and its enough when charging me money.can understand logic in it.I think best thing to do is to leave it for US only coz the way its designed is as if we dont care for else.,3
"Apr. 11, 2022",Great,"To be honest I’m not satisfied 7 years I’ve been with Netflix and not once have they email and said hey girlfriend 3 years today we been together have a month on us, it’s like having a kid at times the longer you have it the more expensive it becomes, don’t get me wrong the shows are great (sometimes) but rather than are you still watching how about shall we order Uber? Love ya",4
