Review Dates,Review Titles,Reviews,Star Ratings
"April 19, 2022",When doing a pickup order,"When doing a pickup order, they put a temp hold on bank for amount. This is fine but, the last two times I have done my pickup the money was not taken out until 3 or 4 days later and the temp hold was released by then. Now account is overdrawn. They used to take money out when you picked it up.  Will not be shopping with them again.",1
A day ago,Ordered a bottle of Dakins…,"Ordered a bottle of Dakins antimicrobial solution on April 2nd.  Recieved email order was on it's way a few days later. A few days later I get an email that order was delayed.  I checked tracking.  Order was in New Mexico in transit. On the 16th, I decide to cancel order. Later that day, I get email saying it was delivered. It was not.  I checked my camera and at no point did Fed Ex come to my door.  It was a lie. It all fairness to Wal Mart, they refunded my money when contacted. They did not have a picture of the item on my doorstep as Amazon and UPS always do. No surprise there.",1
"April 16, 2022","Staffs of Walmart at yuca valley. Unprofessional, bad attitude, poor customer service . Today,April 16,2022  past 3 oclock my husband and I approached the 3 staffs at women's fitting area","Staffs of Walmart at yuca valley. Unprofessional, bad attitude, poor customer service . Today,April 16,2022  past 3 oclock my husband and I approached the three workers were  standing and talking at women's fitting area. I asked one of them  if I can try the clothing that I wanted to purchase.She said she doesn't have a key and can't do anything about it. While she was saying it she was  looking at her coworkers and then walks away . The other  two workers did not do anything either.  Please Walmart at yuca valley do something about it. Teach your staffs how to help customer's need with good manners and conduct. I noticed this kind of service most of the time at Walmart. To those three staffs today . My advice to you three, if you guys tired with your job please quit because you're stressing me out!!!",1
"April 16, 2022",Site is super user friendly,"I reached out to the customer service level of corporate help.  After 12 + complaints and they escalating the complaints to higher, NOTHING HAS BEEN DONE.  The last customer service person hung up on me when we discuss that the only recourse was to go to court.  This was after 12 complaints (220330-005410).  I provided the file number so that Corporate leaders ever read this they can see the facts of their horrible performance.  I have not heard from the insurance group working with Wal Mart.  So, I am file a lawsuit against Wal Mart for destroying my car.",5
"April 16, 2022",I reached out to the customer service…,"I am so thankful for the amazing Walmart Delivery service that I have been using for the past two years. With having two toddlers, it has kept me from going insane by not having to shop in the store where they fuss or fight over whatever they see. My items always come on time and I am so thankful that I can get basically anything I need all from one website. Thank you so much!",1
"April 15, 2022",I am so thankful for the amazing…,"Purchased a Samsung Television that arrived late and broken, the shipping box was in good shape when delivered by FedEx.  Customer Service Agents gave me the incorrect information on Walmart.com returns. Customer Service Agents are worse than awful to say the least. I have to wait 30 plus days for a new television and practical refund.  AWFUL CUSTOMER SERVICE, in hindsight I should have paid the extra $20.00 for the television at COSTCO.  I will NEVER purchase another big ticket item from Walmart.com.  One star is too many, customer service is worse than awful and English is spoke as a second language with most of the customer service agents.  Save yourself the headache and buy from another company.",5
"April 15, 2022",AVOID LIKE THE BLACK PLAGUE,"Tech department is not helpful, Even called on customer service number they keep giving me run around pathetic.",1
"April 15, 2022",Tech department is not helpful,"The Walmart at 5125 E. Kings Canyon, Fresno, CA 93727 is in essence stealing from their customers...at a prior shopping trip I asked the clerk for a bottle of 100 Tylenol PM which was in glass case locked...she got it took it to isle 13 to hold until I was ready to pay...now today I discovered she gave me regular Tylenol...the box is unopened as well as the bottle inside...but... Walmart refuses to exchange or refund because it came from pharmacy although it's an over the counter medicine...so I'm out the money and all because of their incompetent employees 🤬",3
"April 15, 2022",The Walmart at 5125 E,"Just left an $100+ buggy of food because our Forest City NC store is not accepting cash, at all this Easter holiday. Only debit and credit which I wasn't prepared for. How can you not take cash at the biggest retailer in America?!",1
"April 15, 2022",Just left an $100+ buggy of food…,"i go  to this wamart al the time ,for medicine.big shout out to yuri ,helping me last week get my medicane refilled .THANK YOU SO VERY MUCH ALL THE STAFF HERE ARE AWESOME GOD BLESS",1
"April 14, 2022","i go  to this wamart al the time ,for…",Terrible and redundant customer service. They literally can't do a simple thing without making you jump through hoops and climb ladders even when it is THEIR FAULT.,5
"April 14, 2022",Terrible and redundant customer service…,"Walmart.com is a mixed bag. Often it's fine, but too often it's complicated. Two times I've ordered products in which I communicate with the 3rd party sellers usually in a land far away. It's hard to communicate when problems arise, as they often do. From now on, I'm absolutely not ordering from walmart online.",1
"April 14, 2022",Walmart.com is a mixed bag,"I recently moved so switched from the Walmart pharmacy on Switzer Road in Biloxi Ms. to the pharmacy at Walmart on Hwy. 49 in Gulfport Ms. My first refill, they filled one of my prescriptions incorrectly, tried to tell me I was wrong even with the correct information on the label they printed on the previous months bottle and they had the original prescription. Then I had to sit and wait about an hour so they could call my Doctor. Then yesterday, 4/13/22, I called in my refills, 3, and they told me to come pick them up in an hour. I arrived an hour later and was told it would be another half hour. Then when I get up to the counter to get my 3 refills, there are only 2. and the girl actually tried to tell me I only had 2 refills. Finally they found their mistake and instead of filling it right then, I had to wait another half hour. The people working in this pharmacy need to be fired or retrained, they don't seem to be very good at their jobs. I will not go to a pharmacist I don't trust. I used the pharmacy at the Switzer Road Walmart in Biloxi Ms. for about 10 years before I moved, and I am going back to them even though it is out of my way. In all those years I never had one problem with them. The Switzer Road  pharmacy gets 5 Stars.",2
"April 14, 2022",Gulfport Ms. Hwy. 49 Walmart pharmacy is terrible,"Disgraceful management “team” at the Delavan, WI Walmart. It’s shameful allowing Benjamin, Corri, & Lanaya to lead any group of employees. After shopping here for 20 years, my family & I will never be back & I’ll be letting everyone know about my horrible experience.",1
"April 13, 2022",Disgraceful management “team” at the…,"I am a faithful customer at the Walmart Supercenter in Monroe North Carolina. I am sick and tired of being overcharged. I spend anywhere from $800 to $1,200 at the first of the month for monthly groceries. I spend more time bring customer service over four items that I am being overcharged than I do picking up all my groceries. I'm not referring to items that have been put in the wrong place. I have called corporate headquarters twice and was told I would get a call from the store manager it's been over 2 weeks. I just saw on on local media that the Walmart in Indian Trail has already been called for overcharging people. I was also told that the manager of the Walmart in Monroe North Carolina have been terminated 2 weeks ago and the assistant manager decided to go on vacation so they had a lead person handling the store. I stopped by tonight to pick up a few items and again I was overcharged. The 24 packs of Mountain Dew are one of the main items that they will overcharge you for and also Meats. I bought a cat bed that was Mark 9 97 but it would ring up 1497 customer service told me the price has gone up and I need to pay it I told him they could keep their s***. Any coupon that is a dollar or more in value is always keep down saying item not found I had to dig through my groceries to prove that I bought it and yes there it is so why won't it take my $3 coupon off of Tide. I am so sick and tired of Walmart ripping people off and evidently Walmart corporate does not give a s***. People please watch everything that is scanned at Walmart times are tough for everyone but overcharging your customers is wrong wrong wrong!!",1
"April 13, 2022",I am a faithful customer at the Walmart…,"I had a delivery of groceries sent to my house first there was a delay, and I was told there was a substitution now I figured it was a substitution you would give me a phone call and see if it's okay to replace one item for another. Especially if it's for a higher price from $1.47 to 488 Lysol and then there's outside there were no great so they decided to make a substitution yet they said you can return things I'm unable to find a way to return or to get an app to return things",1
"April 13, 2022",I had a delivery of groceries sent to…,I bought a eGift card and Walmart.com and Walmart customer service can not locate the gift card in their system and the money has been deducted from my bank account. No one has tried to help me with this situation. It's amazing to me that when things are not right and going wrong no one is their to help but if it were them they would want someone to help them. This is RIDICULOUS!!!,2
"April 13, 2022",I bought a eGift card and Walmart.com…,"I think that the supply chain has been interrupted at the Irwin Walmart because there is never enough cat food, ect.",1
"April 13, 2022",I think that the supply chain has been…,"Walmart.com Fraud Department,You let 8 identical items that cost $177.52 each charge to my bank account. 4 charges placed om 4/6/2022, 4 charges placed on 4/7/2022. I contacted you on 4/6/2022 about the first four charges and told you that this was obvious fraud. You told me you took care of it. You emailed me you took care of it. YOU LIED! All this tells me is your word is no good. I had those same charges added to my bank account on 4/6/2022 added again on/4/7/22.       I called today and I was told they could not do anything about it. Why have a fraud department if you cannot do anything about it? You make no sense at all. Did you ever check the delivery address? I got an email from Walmart.com saying you delivered those packages, of course when I checked they were not delivered to my address which you have on file. You did not check the delivery address either for my account? How can anybody trust you? I could care less about your fraud policy because you do not do anything and allow this happen twice. I told you about the fraud, you did nothing, you did not check the delivery address, you let the same thing happen twice. Why have a fraud department if you do not do anything to prevent fraud! You need to shut down this department because you do not help customers, you help yourself to the customers money. By the way, me on my wife live on Social Security and both disabled. We live month to month on Social Security on the little money we get with a lot of doctor bills to pay. I HOPE YOUR PROUD you have now gave us negative balance in our checking account and we have not yet reached the middle of the month!I will be sending a copy of this letter to the Better Business Bureau and to Walmart Corporate.Charles Samples",3
"April 13, 2022","Walmart.com Fraud Department,","When doing a pickup order, they put a temp hold on bank for amount. This is fine but, the last two times I have done my pickup the money was not taken out until 3 or 4 days later and the temp hold was released by then. Now account is overdrawn. They used to take money out when you picked it up.  Will not be shopping with them again.",1
"April 19, 2022",When doing a pickup order,"Ordered a bottle of Dakins antimicrobial solution on April 2nd.  Recieved email order was on it's way a few days later. A few days later I get an email that order was delayed.  I checked tracking.  Order was in New Mexico in transit. On the 16th, I decide to cancel order. Later that day, I get email saying it was delivered. It was not.  I checked my camera and at no point did Fed Ex come to my door.  It was a lie. It all fairness to Wal Mart, they refunded my money when contacted. They did not have a picture of the item on my doorstep as Amazon and UPS always do. No surprise there.",1
A day ago,Ordered a bottle of Dakins…,"Staffs of Walmart at yuca valley. Unprofessional, bad attitude, poor customer service . Today,April 16,2022  past 3 oclock my husband and I approached the three workers were  standing and talking at women's fitting area. I asked one of them  if I can try the clothing that I wanted to purchase.She said she doesn't have a key and can't do anything about it. While she was saying it she was  looking at her coworkers and then walks away . The other  two workers did not do anything either.  Please Walmart at yuca valley do something about it. Teach your staffs how to help customer's need with good manners and conduct. I noticed this kind of service most of the time at Walmart. To those three staffs today . My advice to you three, if you guys tired with your job please quit because you're stressing me out!!!",1
"April 16, 2022","Staffs of Walmart at yuca valley. Unprofessional, bad attitude, poor customer service . Today,April 16,2022  past 3 oclock my husband and I approached the 3 staffs at women's fitting area","I reached out to the customer service level of corporate help.  After 12 + complaints and they escalating the complaints to higher, NOTHING HAS BEEN DONE.  The last customer service person hung up on me when we discuss that the only recourse was to go to court.  This was after 12 complaints (220330-005410).  I provided the file number so that Corporate leaders ever read this they can see the facts of their horrible performance.  I have not heard from the insurance group working with Wal Mart.  So, I am file a lawsuit against Wal Mart for destroying my car.",1
"April 16, 2022",Site is super user friendly,"I am so thankful for the amazing Walmart Delivery service that I have been using for the past two years. With having two toddlers, it has kept me from going insane by not having to shop in the store where they fuss or fight over whatever they see. My items always come on time and I am so thankful that I can get basically anything I need all from one website. Thank you so much!",5
"April 16, 2022",I reached out to the customer service…,"Purchased a Samsung Television that arrived late and broken, the shipping box was in good shape when delivered by FedEx.  Customer Service Agents gave me the incorrect information on Walmart.com returns. Customer Service Agents are worse than awful to say the least. I have to wait 30 plus days for a new television and practical refund.  AWFUL CUSTOMER SERVICE, in hindsight I should have paid the extra $20.00 for the television at COSTCO.  I will NEVER purchase another big ticket item from Walmart.com.  One star is too many, customer service is worse than awful and English is spoke as a second language with most of the customer service agents.  Save yourself the headache and buy from another company.",1
"April 15, 2022",I am so thankful for the amazing…,"Tech department is not helpful, Even called on customer service number they keep giving me run around pathetic.",5
"April 15, 2022",AVOID LIKE THE BLACK PLAGUE,"The Walmart at 5125 E. Kings Canyon, Fresno, CA 93727 is in essence stealing from their customers...at a prior shopping trip I asked the clerk for a bottle of 100 Tylenol PM which was in glass case locked...she got it took it to isle 13 to hold until I was ready to pay...now today I discovered she gave me regular Tylenol...the box is unopened as well as the bottle inside...but... Walmart refuses to exchange or refund because it came from pharmacy although it's an over the counter medicine...so I'm out the money and all because of their incompetent employees 🤬",1
"April 15, 2022",Tech department is not helpful,"Just left an $100+ buggy of food because our Forest City NC store is not accepting cash, at all this Easter holiday. Only debit and credit which I wasn't prepared for. How can you not take cash at the biggest retailer in America?!",3
"April 15, 2022",The Walmart at 5125 E,"i go  to this wamart al the time ,for medicine.big shout out to yuri ,helping me last week get my medicane refilled .THANK YOU SO VERY MUCH ALL THE STAFF HERE ARE AWESOME GOD BLESS",1
"April 15, 2022",Just left an $100+ buggy of food…,Terrible and redundant customer service. They literally can't do a simple thing without making you jump through hoops and climb ladders even when it is THEIR FAULT.,1
"April 14, 2022","i go  to this wamart al the time ,for…","Walmart.com is a mixed bag. Often it's fine, but too often it's complicated. Two times I've ordered products in which I communicate with the 3rd party sellers usually in a land far away. It's hard to communicate when problems arise, as they often do. From now on, I'm absolutely not ordering from walmart online.",5
"April 14, 2022",Terrible and redundant customer service…,"I recently moved so switched from the Walmart pharmacy on Switzer Road in Biloxi Ms. to the pharmacy at Walmart on Hwy. 49 in Gulfport Ms. My first refill, they filled one of my prescriptions incorrectly, tried to tell me I was wrong even with the correct information on the label they printed on the previous months bottle and they had the original prescription. Then I had to sit and wait about an hour so they could call my Doctor. Then yesterday, 4/13/22, I called in my refills, 3, and they told me to come pick them up in an hour. I arrived an hour later and was told it would be another half hour. Then when I get up to the counter to get my 3 refills, there are only 2. and the girl actually tried to tell me I only had 2 refills. Finally they found their mistake and instead of filling it right then, I had to wait another half hour. The people working in this pharmacy need to be fired or retrained, they don't seem to be very good at their jobs. I will not go to a pharmacist I don't trust. I used the pharmacy at the Switzer Road Walmart in Biloxi Ms. for about 10 years before I moved, and I am going back to them even though it is out of my way. In all those years I never had one problem with them. The Switzer Road  pharmacy gets 5 Stars.",1
